Taxon,pk_freq,F_Hz,log10Hz,min_freq,body_mass,log10mass,ln_mass,family,fam,order,phyloname,phyloname2,Species,Dichr,SongRepSize,MinLat,climPC1,climPC2,newVeg
Buteo_lineatus,2.41,2410,3.382017043,0.97,544,2.7355989,6.298949247,Accipitridae,"Eagles, hawks and kites",Accipitriformes,Buteo_lineatus,Buteo lineatus,lineatus,0,,24.94721442,-0.112869633,-0.164773103,Forest
Buteo_platypterus,4.76,4760,3.677606953,4.52,420,2.62324929,6.040254711,Accipitridae,"Eagles, hawks and kites",Accipitriformes,Buteo_platypterus,Buteo platypterus,platypterus,0,,11.1295681,-0.072709424,-0.726999349,Forest
Buteo_regalis,2.19,2190,3.340444115,0.34,1163,3.065579715,7.058758153,Accipitridae,"Eagles, hawks and kites",Accipitriformes,Buteo_regalis,Buteo regalis,regalis,0,,33.20777503,-1.37830792,0.853788928,Non-forest
Buteo_swainsoni,2.75,2750,3.439332694,1.2,808,2.907411361,6.694562059,Accipitridae,"Eagles, hawks and kites",Accipitriformes,Buteo_swainsoni,Buteo swainsoni,swainsoni,0,,24.72667885,-0.112869633,-0.164773103,Non-forest
Psaltriparus_minimus,6.84116,6841.16,3.835129748,4.41563,5.3,0.72427587,1.667706821,Aegithalidae,Bushtits,Passeriformes,Psaltriparus_minimus,Psaltriparus minimus,minimus,3,,14.08877935,-0.198224681,-0.775564509,Forest
Alauda_arvensis,4.2,4200,3.62324929,,42.7,1.630427875,3.75419892,Alaudidae,Larks,Passeriformes,Alauda_arvensis,Alauda arvensis,arvensis,0,,-14.16540788,0.036427642,-1.770768026,Non-forest
Calandrella_brachydactyla,3.57,3570,3.552668216,,20,1.301029996,2.995732274,Alaudidae,Larks,Cuculiformes,Calandrella_brachydactyla,Calandrella brachydactyla,brachydactyla,4,,25.19985068,1.56666436,0.262176419,Non-forest
Eremophila_alpestris,4.8,4800,3.681241237,3.71,36.2,1.558708571,3.589059119,Alaudidae,Larks,Passeriformes,Eremophila_alpestris,Eremophila alpestris,alpestris,2,2,15.78476336,1.35384218,1.04536721,Non-forest
Eremophila_bilopha,4.26,4260,3.629409599,1.67,38.5,1.58546073,3.650658241,Alaudidae,Larks,Passeriformes,Eremophila_bilopha,Eremophila bilopha,bilopha,2,,20.72264281,-1.666670388,0.96361336,Non-forest
Galerida_cristata,3.66,3660,3.563481085,2.51,39,1.591064607,3.663561646,Alaudidae,Larks,Passeriformes,Galerida_cristata,Galerida cristata,cristata,0,,1.221241693,-0.112869633,-0.164773103,Non-forest
Galerida_theklae,3.53,3530,3.547774705,1.42,38.4,1.584331224,3.64805746,Alaudidae,Larks,Passeriformes,Galerida_theklae,Galerida theklae,theklae,0,,0.12396048,-0.612294303,0.075965076,Non-forest
Lullula_arborea,3.91,3910,3.592176757,,26.9,1.42975228,3.292126287,Alaudidae,Larks,Passeriformes,Lullula_arborea,Lullula arborea,arborea,0,,29.77278932,-0.112869633,-0.164773103,Non-forest
Melanocorypha_calandra,3.85,3850,3.58546073,,61.6,1.789580712,4.120661871,Alaudidae,Larks,Passeriformes,Melanocorypha_calandra,Melanocorypha calandra,calandra,0,,25.25786966,-0.40277485,-0.214694148,Non-forest
Anas_acuta,0.38,380,2.579783597,0.17,1006,3.002597981,6.913737351,Anatidae,"Ducks, geese and swans",Anseriformes,Anas_acuta,Anas acuta,acuta,10,,39.19666147,-1.170753696,0.684247108,Non-forest
Anas_americana,1.93,1930,3.285557309,0.77,792,2.898725182,6.674561392,Anatidae,"Ducks, geese and swans",Anseriformes,Anas_americana,Anas americana,americana,10,,35.7864957,-0.261878744,-0.715812727,Non-forest
Anas_clypeata,0.43,430,2.633468456,0.08,636,2.803457116,6.455198563,Anatidae,"Ducks, geese and swans",Anseriformes,Anas_clypeata,Anas clypeata,clypeata,10,,29.61801854,-0.112869633,-0.164773103,Non-forest
Anas_crecca,2.54,2540,3.404833717,0.76,359,2.555094449,5.883322388,Anatidae,"Ducks, geese and swans",Anseriformes,Anas_crecca,Anas crecca,crecca,10,,34.75786182,-2.131006904,0.377531431,Non-forest
Anas_cyanoptera,1.33,1330,3.123851641,0.25,383,2.583198774,5.948034989,Anatidae,"Ducks, geese and swans",Anseriformes,Anas_cyanoptera,Anas cyanoptera,cyanoptera,10,,-55.97677687,-1.687946822,1.173434366,Non-forest
Anas_discors,0.64,640,2.806179974,0.38,380,2.579783597,5.940171253,Anatidae,"Ducks, geese and swans",Anseriformes,Anas_discors,Anas discors,discors,10,,-11.45429031,0.339609757,-1.24553884,Non-forest
Anas_penelope,2.11,2110,3.324282455,0.56,819,2.913283902,6.708084084,Anatidae,"Ducks, geese and swans",Anseriformes,Anas_penelope,Anas penelope,penelope,10,,48.93888787,-0.147180715,-0.25970054,Non-forest
Anas_platyrhynchos,1.3,1300,3.113943352,0.11,1246,3.095518042,7.127693699,Anatidae,"Ducks, geese and swans",Anseriformes,Anas_platyrhynchos,Anas platyrhynchos,platyrhynchos,10,,19.44799191,-1.711607237,-0.242366396,Non-forest
Anas_rubripes,1.8,1800,3.255272505,0.21,1400,3.146128036,7.244227516,Anatidae,"Ducks, geese and swans",Anseriformes,Anas_rubripes,Anas rubripes,rubripes,1,,34.58854274,-1.087959174,0.621054412,Non-forest
Anas_strepera,1.72,1720,3.235528447,0.25,968,2.985875357,6.875232087,Anatidae,"Ducks, geese and swans",Anseriformes,Anas_strepera,Anas strepera,strepera,9,,10.41736048,-0.112869633,-0.164773103,Non-forest
Branta_bernicla,1.54,1540,3.187520721,0.23,225,2.352182518,5.416100402,Anatidae,"Ducks, geese and swans",Anseriformes,Branta_bernicla,Branta bernicla,bernicla,0,,55.56075127,-0.862934366,0.96833408,Non-forest
Branta_canadensis,1.38,1380,3.139879086,0.33,3969,3.598681099,8.286269453,Anatidae,"Ducks, geese and swans",Anseriformes,Branta_canadensis,Branta canadensis,canadensis,0,,35.37449609,-0.918749278,1.006114572,Non-forest
Branta_leucopsis,1.76,1760,3.245512668,0.77,1788,3.252367514,7.488852956,Anatidae,"Ducks, geese and swans",Anseriformes,Branta_leucopsis,Branta leucopsis,leucopsis,0,,55.55772772,-0.112869633,-0.164773103,Non-forest
Cygnus_atratus,1.11,1110,3.045322979,0.08,6200,3.792391689,8.732304571,Anatidae,"Ducks, geese and swans",Anseriformes,Cygnus_atratus,Cygnus atratus,atratus,1,,-46.98935201,-0.112869633,-0.164773103,Non-forest
Cygnus_buccinator,0.77,770,2.886490725,0.08,11900,4.075546961,9.384293679,Anatidae,"Ducks, geese and swans",Anseriformes,Cygnus_buccinator,Cygnus buccinator,buccinator,0,,38.71897174,-1.753782717,1.006761339,Non-forest
Cygnus_columbianus,0.88,880,2.944482672,0.47,6800,3.832508913,8.824677891,Anatidae,"Ducks, geese and swans",Anseriformes,Cygnus_columbianus,Cygnus columbianus,columbianus,0,,56.54278149,-0.981714738,0.2696649,Non-forest
Cygnus_cygnus,0.81,810,2.908485019,0.47,9350,3.970811611,9.143131622,Anatidae,"Ducks, geese and swans",Anseriformes,Cygnus_cygnus,Cygnus cygnus,cygnus,0,,45.73885517,-0.112869633,-0.164773103,Non-forest
Cygnus_olor,0.775,775,2.889301703,0.51,11800,4.071882007,9.37585481,Anatidae,"Ducks, geese and swans",Anseriformes,Cygnus_olor,Cygnus olor,olor,0,,35.32623281,-0.112869633,-0.164773103,Non-forest
Ixobrychus_exilis,0.73,730,2.86332286,0.13,86.3,1.936010796,4.457829598,Ardeidae,Herons,Pelecaniformes,Ixobrychus_exilis,Ixobrychus exilis,exilis,3,,-28.32497503,-1.10565413,0.430712448,Non-forest
Ixobrychus_minutus,0.6,600,2.77815125,0.25,118,2.071882007,4.770684624,Ardeidae,Herons,Pelecaniformes,Ixobrychus_minutus,Ixobrychus minutus,minutus,9,,-39.13893949,-1.16542047,0.515509569,Non-forest
Phainopepla_nitens,2.5,2500,3.397940009,,22.1,1.344392274,3.095577609,Bombycillidae,Waxwings,Passeriformes,Phainopepla_nitens,Phainopepla nitens,nitens,7,,19.9096756,-0.112869633,-0.164773103,Forest
Monasa_morphoeus,1.98067,1980.67,3.296812124,1.40667,74,1.86923172,4.304065093,Bucconidae,Puffbirds,Piciformes,Monasa_morphoeus,Monasa morphoeus,morphoeus,0,,-20.20813767,-0.477454163,-0.293383858,Forest
Burhinus_grallarius,1.98,1980,3.29666519,0.73,672,2.827369273,6.510258341,Burhinidae,Stone-curlews,Charadriiformes,Burhinus_grallarius,Burhinus grallarius,grallarius,0,,-37.88595,-0.701284008,0.128112716,Forest
Burhinus_oedicnemus,2.64,2640,3.421603927,1.92,459,2.661812686,6.12905021,Burhinidae,Stone-curlews,Charadriiformes,Burhinus_oedicnemus,Burhinus oedicnemus,oedicnemus,0,,5.916833608,-1.233918462,0.837086837,Non-forest
Cacatua_galerita,2.23,2230,3.348304863,0.25,724,2.859738566,6.584791392,Cacatuidae,Cockatoos,Psittaciformes,Cacatua_galerita,Cacatua galerita,galerita,1,,-43.6439698,-1.474561465,0.714994096,Forest
Cacatua_leadbeateri,2.06,2060,3.31386722,0.68,424,2.627365857,6.049733455,Cacatuidae,Cockatoos,Psittaciformes,Cacatua_leadbeateri,Cacatua leadbeateri,leadbeateri,1,,-36.27878751,0.117886114,-2.067453144,Forest
Cacatua_pastinator,2.23,2230,3.348304863,0.47,610,2.785329835,6.413458957,Cacatuidae,Cockatoos,Psittaciformes,Cacatua_pastinator,Cacatua pastinator,pastinator,0,,-34.86644269,1.535435811,-0.318405452,Forest
Caprimulgus_aegyptius,1.03,1030,3.012837225,0.6,77.3,1.888179494,4.347693956,Caprimulgidae,Nightjars,Caprimulgiformes,Caprimulgus_aegyptius,Caprimulgus aegyptius,aegyptius,1,,22.32554457,1.60549293,0.226643409,Non-forest
Caprimulgus_carolinensis,1.55,1550,3.190331698,0.94,109,2.037426498,4.691347882,Caprimulgidae,Nightjars,Caprimulgiformes,Caprimulgus_carolinensis,Caprimulgus carolinensis,carolinensis,3,,24.94721467,-0.801976307,0.765910517,Forest
Caprimulgus_europaeus,1.85,1850,3.267171728,0.73,67,1.826074803,4.204692619,Caprimulgidae,Nightjars,Caprimulgiformes,Caprimulgus_europaeus,Caprimulgus europaeus,europaeus,2,,24.99999992,1.682555415,1.233047295,Non-forest
Caprimulgus_macrurus,0.86,860,2.934498451,0.25,66.2,1.820857989,4.192680463,Caprimulgidae,Nightjars,Caprimulgiformes,Caprimulgus_macrurus,Caprimulgus macrurus,macrurus,3,,-26.69881816,1.743048882,2.87735386,Forest
Caprimulgus_ridgwayi,2.67,2670,3.426511261,1.46,48,1.681241237,3.871201011,Caprimulgidae,Nightjars,Caprimulgiformes,Caprimulgus_ridgwayi,Caprimulgus ridgwayi,ridgwayi,2,,14.56511832,0.478729106,-2.017233265,Non-forest
Caprimulgus_ruficollis,1.29,1290,3.11058971,0.77,68.5,1.835690571,4.226833745,Caprimulgidae,Nightjars,Caprimulgiformes,Caprimulgus_ruficollis,Caprimulgus ruficollis,ruficollis,2,,29.43292988,-0.048508124,-1.380111434,Non-forest
Caprimulgus_vociferus,1.51,1510,3.178976947,1.03,50.3,1.701567985,3.918005077,Caprimulgidae,Nightjars,Caprimulgiformes,Caprimulgus_vociferus,Caprimulgus vociferus,vociferus,2,,31.65196253,-0.112869633,-0.164773103,Forest
Chordeiles_acutipennis,0.73,730,2.86332286,0.51,48.5,1.685741739,3.881563798,Caprimulgidae,Nightjars,Caprimulgiformes,Chordeiles_acutipennis,Chordeiles acutipennis,acutipennis,4,,-3.036666877,1.51147967,1.469570445,Non-forest
